,open,high,low,close,AVWAP,BLR,Bullish Breakout Zone,Bearish Breakout Zone,Volume,RSI,RSI EMA,DI+,DI-,id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
18747,44568.35,44589.85,44566.4,44578.3,44099.49984,44492.58324,44742.116,44589.9488,1608714,56.31292809,57.93141828,27.56051629,22.25027657,,,,,,,,,,,,,,
18748,44575.95,44576.4,44556.2,44565.55,44100.83003,44491.7805,44742.116,44589.9488,1619652,53.81532348,57.81652688,26.66913309,23.02338401,,,,,,,,,,,,,,
18749,44566.85,44568.05,44541.55,44554.95,44101.92288,44490.38105,44742.116,44589.9488,1370696,50.10839681,57.5898502,25.59994429,24.3167009,,,,,,,,,,,,,,
18750,44556.15,44562.8,44544.3,44552.9,44103.1668,44488.9258,44742.116,44589.9488,1573522,48.75894666,57.3331554,24.85091563,23.60521866,,,,,,,,,,,,,,
18751,44551.5,44568.8,44550.75,44556.6,44104.63871,44487.59557,44742.116,44589.9488,1851000,49.90349538,57.12174173,25.10116055,22.90116281,,,,,,,,,,,,,,
18752,44555.4,44580.2,44555.4,44576.5,44106.04848,44488.25277,44742.116,44589.9488,1738113,53.91628782,57.02977821,25.98313081,21.93319666,,,,,,,,,,,,,,
18753,44574.7,44590.45,44572.6,44583.25,44107.41228,44489.55313,44742.116,44589.9488,1650882,58.88983733,57.08386495,26.98049508,21.23741106,,,,,,,,,,,,,,
18754,44579.95,44591.85,44569.3,44588.25,44108.56145,44490.83288,44742.116,44589.9488,1395415,59.65437805,57.15693689,25.86423314,20.9642147,,,,,,,,,,,,,,
18755,44586.45,44596.45,44569.7,44577.6,44109.61318,44493.38134,44742.116,44589.9488,1288147,59.74012305,57.22811641,25.42909472,19.91179599,,,,,,,,,,,,,,
18756,44580.65,44597.6,44565.2,44587.0,44110.89372,44496.4634,44742.116,44589.9488,1569454,59.76841437,57.29586998,23.86630328,19.54164724,,,,,,,,,,,,,,
18757,44589.0,44627.0,44581.4,44624.45,44112.52826,44502.32933,44742.116,44589.9488,1903754,68.78919978,57.6265406,27.32649817,17.87648425,,,,,,,,,,,,,,
18758,44627.7,44633.6,44616.4,44621.2,44114.08316,44507.69937,44742.116,44589.9488,1776916,74.26222211,58.13420742,27.69603259,17.27841993,,,,,,,,,,,,,,
